Option d'achat Acheteur;Option d'achat Vendeur;Option d'achat Delta;Strike price;Option de vente Acheteur;Option de vente Vendeur;Option de vente Delta
107.2;108.2;0.97;6800;0.5;0.55;-0.03
102.0;103.1;0.966;6805;0.55;0.6;-0.035
97.1;98.2;0.96;6810;0.6;0.7;-0.04
92.2;93.3;0.953;6815;0.7;0.8;-0.047
87.5;88.5;0.946;6820;0.85;0.9;-0.054
82.7;83.7;0.937;6825;1.0;1.05;-0.063
77.9;78.8;0.928;6830;1.15;1.2;-0.072
72.8;73.9;0.917;6835;1.35;1.4;-0.084
68.2;69.2;0.903;6840;1.55;1.65;-0.097
63.3;64.4;0.888;6845;1.85;1.95;-0.112
58.9;59.8;0.869;6850;2.15;2.25;-0.131
53.9;55.1;0.847;6855;2.55;2.65;-0.153
50.8;52.2;0.822;6860;2.85;2.95;-0.178
46.5;47.3;0.794;6865;3.4;3.5;-0.207
42.3;42.8;0.762;6870;4.0;4.1;-0.238
38.1;38.5;0.727;6875;4.7;4.9;-0.274
34.0;34.4;0.687;6880;5.6;5.8;-0.314
29.9;30.5;0.643;6885;6.7;6.9;-0.357
26.1;26.5;0.595;6890;7.9;8.0;-0.405
22.7;23.0;0.545;6895;9.3;9.5;-0.456
19.3;19.6;0.491;6900;11.0;11.1;-0.509
16.3;16.5;0.437;6905;12.9;13.1;-0.563
13.5;13.7;0.382;6910;15.1;15.4;-0.618
11.0;11.2;0.329;6915;17.5;17.8;-0.671
8.4;8.5;0.367;6920;21.0;21.2;-0.633
6.6;6.8;0.311;6925;23.9;24.2;-0.688
5.1;5.2;0.184;6930;27.4;27.9;-0.816
3.8;3.9;0.148;6935;31.4;32.0;-0.852
2.8;2.9;0.117;6940;35.1;35.7;-0.883
2.05;2.15;0.091;6945;39.5;40.3;-0.909
1.5;1.6;0.07;6950;43.4;44.6;-0.93
1.1;1.15;0.053;6955;48.4;49.4;-0.947
0.75;0.85;0.041;6960;52.9;54.3;-0.959
0.55;0.6;0.031;6965;57.9;58.9;-0.969
0.45;0.5;0.023;6970;60.8;61.8;-0.977
0.3;0.35;0.018;6975;65.7;66.7;-0.982
0.2;0.3;0.014;6980;70.5;71.4;-0.986
0.15;0.25;0.012;6985;75.3;76.3;-0.988
0.1;0.15;0.01;6990;80.5;81.6;-0.99
0.1;0.15;0.009;6995;85.3;86.3;-0.992
0.1;0.15;0.008;7000;90.4;91.3;-0.993
0.05;0.1;0.007;7005;95.6;96.7;-0.994
0.05;0.1;0.006;7010;100.2;101.5;-0.994
0.05;0.1;0.005;7015;105.0;106.4;-0.995
0.05;0.1;0.005;7020;110.2;111.7;-0.996