ticker;earnings_date;timing;signal_valid;direction;compression_ok;max_pre_ratio;var_j_pct;j_date;j_close;entry_date;entry_open;exit_date;exit_close;raw_ret_pct;pnl_pct;sector;market_cap_b;n_analysts;j_date_dt;month;weekday;year;cap_bucket;analyst_bucket;surprise_abs;surprise_bucket;beta;beta_bucket;pre_trend_20d_pct;pre_trend_bucket;vix_at_j;vix_regime
CMG;2020-04-21;amc;True;long;True;0.85;12.15;2020-04-22;17.65;2020-04-23;17.9;2020-04-29;17.65;-1.41;-1.41;Consumer Cyclical;44.15;35.0;2020-04-22;4;Wednesday;2020;[40-50B];31+;12.15;12-15%;1.064;normal_0.8-1.2;33.62945548018883;strong_up_+10%+;26.97;stressed_25-30
MANH;2020-04-21;amc;True;long;True;0.854;11.54;2020-04-22;58.0;2020-04-23;59.6;2020-04-29;72.0;20.81;20.81;Technology;8.18;11.0;2020-04-22;4;Wednesday;2020;[0-10B];11-15;11.54;10-12%;1.047;normal_0.8-1.2;22.008449796318253;strong_up_+10%+;26.97;stressed_25-30
VMI;2020-04-22;amc;True;long;True;0.735;10.34;2020-04-23;116.38;2020-04-24;116.4;2020-04-30;117.24;0.72;0.72;Industrials;9.66;3.0;2020-04-23;4;Thursday;2020;[0-10B];1-5;10.34;10-12%;1.244;high_1.2-1.6;10.65995585181218;strong_up_+10%+;26.97;stressed_25-30
WST;2020-04-23;bmo;True;long;True;0.999;10.17;2020-04-23;187.42;2020-04-24;190.0;2020-04-30;189.26;-0.39;-0.39;Healthcare;21.96;12.0;2020-04-23;4;Thursday;2020;[20-30B];11-15;10.17;10-12%;1.151;normal_0.8-1.2;25.5683499276987;strong_up_+10%+;26.97;stressed_25-30
SPOT;2020-04-29;bmo;True;long;True;0.84;11.45;2020-04-29;155.78;2020-04-30;148.94;2020-05-06;148.48;-0.31;-0.31;Communication Services;106.22;39.0;2020-04-29;4;Wednesday;2020;[100-200B];31+;11.45;10-12%;1.702;very_high_1.6+;15.111585627937243;strong_up_+10%+;26.97;stressed_25-30
APA;2020-07-29;amc;True;long;True;0.738;17.29;2020-07-30;16.01;2020-07-31;15.94;2020-08-06;15.6;-2.13;-2.13;Energy;13.66;27.0;2020-07-30;7;Thursday;2020;[10-20B];21-30;17.29;15-20%;0.484;low_<0.8;1.1111082854094199;flat_-3_to_+3%;26.97;stressed_25-30
MDB;2022-06-01;amc;True;long;True;0.954;18.56;2022-06-02;286.7;2022-06-03;281.8;2022-06-09;290.38;3.04;3.04;Technology;20.74;36.0;2022-06-02;6;Thursday;2022;[20-30B];31+;18.56;15-20%;1.605;very_high_1.6+;-29.649133975381552;strong_down_<-10%;24.72;elevated_20-25
MRNA;2022-08-03;bmo;True;long;True;0.83;15.97;2022-08-03;186.49;2022-08-04;185.75;2022-08-10;174.27;-6.18;-6.18;Healthcare;20.96;20.0;2022-08-03;8;Wednesday;2022;[20-30B];16-20;15.97;15-20%;1.336;high_1.2-1.6;3.3881988555613405;up_+3_to_+10%;21.95;elevated_20-25
SMCI;2023-01-31;amc;True;long;True;0.832;10.24;2023-02-01;7.97;2023-02-02;8.03;2023-02-08;8.52;6.17;6.17;Technology;16.06;15.0;2023-02-01;2;Wednesday;2023;[10-20B];11-15;10.24;10-12%;1.629;very_high_1.6+;-11.900124628157043;strong_down_<-10%;17.87;normal_15-20
RPM;2023-07-26;bmo;True;long;True;0.912;11.24;2023-07-26;104.05;2023-07-27;106.24;2023-08-02;103.62;-2.47;-2.47;Basic Materials;13.54;14.0;2023-07-26;7;Wednesday;2023;[10-20B];11-15;11.24;10-12%;1.093;normal_0.8-1.2;12.76673219637722;strong_up_+10%+;13.19;calm_<15
DXCM;2023-10-26;amc;True;long;True;0.824;10.11;2023-10-27;89.29;2023-10-30;90.16;2023-11-03;97.46;8.1;8.1;Healthcare;24.19;24.0;2023-10-27;10;Friday;2023;[20-30B];21-30;10.11;10-12%;1.556;high_1.2-1.6;-15.053428540121816;strong_down_<-10%;21.27;elevated_20-25
FIX;2023-10-26;amc;True;long;True;0.827;14.55;2023-10-27;175.92;2023-10-30;178.69;2023-11-03;187.81;5.1;5.1;Industrials;62.41;4.0;2023-10-27;10;Friday;2023;[60-70B];1-5;14.55;12-15%;1.598;high_1.2-1.6;-12.971042801218626;strong_down_<-10%;21.27;elevated_20-25
TIGO;2024-02-27;bmo;True;long;True;0.852;10.7;2024-02-27;17.38;2024-02-28;17.79;2024-03-05;17.67;-0.67;-0.67;Communication Services;14.11;8.0;2024-02-27;2;Tuesday;2024;[10-20B];6-10;10.7;10-12%;0.863;normal_0.8-1.2;-11.449519376102266;strong_down_<-10%;13.43;calm_<15
WDAY;2024-08-22;amc;True;long;True;1.122;12.49;2024-08-23;259.95;2024-08-26;260.0;2024-08-30;263.19;1.23;1.23;Technology;29.48;38.0;2024-08-23;8;Friday;2024;[20-30B];31+;12.49;12-15%;1.141;normal_0.8-1.2;1.7614937324934323;flat_-3_to_+3%;15.86;normal_15-20
COO;2024-08-28;amc;True;long;True;0.772;11.84;2024-08-29;105.73;2024-08-30;106.38;2024-09-06;106.59;0.2;0.2;Healthcare;12.67;15.0;2024-08-29;8;Thursday;2024;[10-20B];11-15;11.84;10-12%;1.074;normal_0.8-1.2;1.2964738677097667;flat_-3_to_+3%;15.65;normal_15-20
HALO;2024-10-31;amc;True;long;True;0.713;13.01;2024-11-01;57.15;2024-11-04;56.82;2024-11-08;60.98;7.32;7.32;Healthcare;7.89;9.0;2024-11-01;11;Friday;2024;[0-10B];6-10;13.01;12-15%;1.031;normal_0.8-1.2;-16.316400067115442;strong_down_<-10%;21.88;elevated_20-25
LVS;2025-01-29;amc;True;long;True;0.84;11.08;2025-01-30;48.24;2025-01-31;47.84;2025-02-06;42.32;-11.54;-11.54;Consumer Cyclical;34.47;19.0;2025-01-30;1;Thursday;2025;[30-40B];16-20;11.08;10-12%;0.887;normal_0.8-1.2;-16.25530313528979;strong_down_<-10%;15.84;normal_15-20
HAS;2025-04-24;bmo;True;long;True;1.187;14.58;2025-04-24;60.37;2025-04-25;61.85;2025-05-01;60.71;-1.84;-1.84;Consumer Cyclical;13.67;15.0;2025-04-24;4;Thursday;2025;[10-20B];11-15;14.58;12-15%;0.544;low_<0.8;-13.679557935088901;strong_down_<-10%;26.47;stressed_25-30
QRVO;2025-04-29;amc;True;long;True;0.757;14.4;2025-04-30;71.67;2025-05-01;71.92;2025-05-07;71.3;-0.86;-0.86;Technology;7.85;15.0;2025-04-30;4;Wednesday;2025;[0-10B];11-15;14.4;12-15%;1.336;high_1.2-1.6;-13.478803539044248;strong_down_<-10%;24.7;elevated_20-25
THC;2025-04-29;bmo;True;long;True;0.911;11.65;2025-04-29;138.35;2025-04-30;137.12;2025-05-06;151.48;10.47;10.47;Healthcare;16.5;21.0;2025-04-29;4;Tuesday;2025;[10-20B];21-30;11.65;10-12%;1.495;high_1.2-1.6;-6.932549023473024;down_-10_to_-3%;24.17;elevated_20-25
ATI;2025-05-01;bmo;True;long;True;1.024;14.45;2025-05-01;62.24;2025-05-02;62.81;2025-05-08;71.06;13.13;13.13;Industrials;21.1;9.0;2025-05-01;5;Thursday;2025;[20-30B];6-10;14.45;12-15%;1.003;normal_0.8-1.2;3.384035447966585;up_+3_to_+10%;24.6;elevated_20-25
CARR;2025-05-01;bmo;True;long;True;1.036;11.61;2025-05-01;69.8;2025-05-02;70.0;2025-05-08;70.5;0.71;0.71;Industrials;51.41;23.0;2025-05-01;5;Thursday;2025;[50-60B];21-30;11.61;10-12%;1.319;high_1.2-1.6;-1.5738117494355102;flat_-3_to_+3%;24.6;elevated_20-25
DXCM;2025-05-01;amc;True;long;True;0.651;16.17;2025-05-02;81.62;2025-05-05;81.65;2025-05-09;84.67;3.7;3.7;Healthcare;24.19;24.0;2025-05-02;5;Friday;2025;[20-30B];21-30;16.17;15-20%;1.556;high_1.2-1.6;3.1112456201519922;up_+3_to_+10%;22.68;elevated_20-25
AGCO;2025-05-01;bmo;True;long;True;0.948;10.1;2025-05-01;93.4;2025-05-02;95.27;2025-05-08;98.09;2.96;2.96;Industrials;8.66;14.0;2025-05-01;5;Thursday;2025;[0-10B];11-15;10.1;10-12%;1.156;normal_0.8-1.2;-8.608056334883898;down_-10_to_-3%;24.6;elevated_20-25
RRX;2025-05-05;amc;True;long;True;0.943;13.57;2025-05-06;125.24;2025-05-07;126.5;2025-05-13;144.34;14.1;14.1;Industrials;14.21;9.0;2025-05-06;5;Tuesday;2025;[10-20B];6-10;13.57;12-15%;1.088;normal_0.8-1.2;11.562974690554146;strong_up_+10%+;24.76;elevated_20-25
CPNG;2025-05-06;amc;True;long;True;0.866;10.83;2025-05-07;26.6;2025-05-08;25.9;2025-05-14;26.91;3.9;3.9;Consumer Cyclical;37.62;17.0;2025-05-07;5;Wednesday;2025;[30-40B];16-20;10.83;10-12%;1.163;normal_0.8-1.2;21.45748847168963;strong_up_+10%+;23.55;elevated_20-25
DIS;2025-05-07;bmo;True;long;True;1.15;10.76;2025-05-07;102.09;2025-05-08;103.97;2025-05-14;112.94;8.63;8.63;Communication Services;183.62;29.0;2025-05-07;5;Wednesday;2025;[100-200B];21-30;10.76;10-12%;1.441;high_1.2-1.6;10.648253051895102;strong_up_+10%+;23.55;elevated_20-25
ELAN;2025-05-07;bmo;True;long;True;0.677;26.29;2025-05-07;12.01;2025-05-08;12.08;2025-05-14;12.88;6.62;6.62;Healthcare;11.18;14.0;2025-05-07;5;Wednesday;2025;[10-20B];11-15;26.29;20-30%;1.877;very_high_1.6+;6.375846479336149;up_+3_to_+10%;23.55;elevated_20-25
ROK;2025-05-07;bmo;True;long;True;0.859;11.9;2025-05-07;283.17;2025-05-08;288.26;2025-05-14;307.54;6.69;6.69;Industrials;45.98;25.0;2025-05-07;5;Wednesday;2025;[40-50B];21-30;11.9;10-12%;1.541;high_1.2-1.6;11.172132712452598;strong_up_+10%+;23.55;elevated_20-25
CRL;2025-05-07;bmo;True;long;True;0.73;18.68;2025-05-07;136.97;2025-05-08;140.7;2025-05-14;138.95;-1.24;-1.24;Healthcare;8.28;15.0;2025-05-07;5;Wednesday;2025;[0-10B];11-15;18.68;15-20%;1.616;very_high_1.6+;-13.918104454924263;strong_down_<-10%;23.55;elevated_20-25
AXON;2025-05-07;amc;True;long;True;0.725;14.13;2025-05-08;686.83;2025-05-09;684.01;2025-05-15;728.39;6.49;6.49;Industrials;31.64;18.0;2025-05-08;5;Thursday;2025;[30-40B];16-20;14.13;12-15%;1.605;very_high_1.6+;19.401624661579294;strong_up_+10%+;22.48;elevated_20-25
ALGM;2025-05-08;bmo;True;long;True;0.727;12.73;2025-05-08;21.07;2025-05-09;21.5;2025-05-15;27.02;25.65;25.65;Technology;8.08;12.0;2025-05-08;5;Thursday;2025;[0-10B];11-15;12.73;12-15%;1.695;very_high_1.6+;-1.2678276135713749;flat_-3_to_+3%;22.48;elevated_20-25
EPAM;2025-05-08;bmo;True;long;True;0.695;12.88;2025-05-08;179.71;2025-05-09;180.56;2025-05-15;184.69;2.29;2.29;Technology;6.37;17.0;2025-05-08;5;Thursday;2025;[0-10B];16-20;12.88;12-15%;1.73;very_high_1.6+;11.079330691372286;strong_up_+10%+;22.48;elevated_20-25
REGN;2025-10-28;bmo;True;long;True;0.633;11.82;2025-10-28;654.48;2025-10-29;650.41;2025-11-04;628.0;-3.45;-3.45;Healthcare;80.98;28.0;2025-10-28;10;Tuesday;2025;[80-90B];21-30;11.82;10-12%;0.397;low_<0.8;4.379847981915961;up_+3_to_+10%;16.42;normal_15-20
TWLO;2025-10-30;amc;True;long;True;1.274;19.51;2025-10-31;134.88;2025-11-03;135.69;2025-11-07;127.68;-5.9;-5.9;Technology;21.47;28.0;2025-10-31;10;Friday;2025;[20-30B];21-30;19.51;15-20%;1.284;high_1.2-1.6;7.057486786788729;up_+3_to_+10%;17.44;normal_15-20
SIRI;2025-10-30;bmo;True;long;True;1.005;10.11;2025-10-30;23.19;2025-10-31;22.97;2025-11-06;21.63;-5.83;-5.83;Communication Services;9.42;13.0;2025-10-30;10;Thursday;2025;[0-10B];11-15;10.11;10-12%;0.86;normal_0.8-1.2;-7.060901995780265;down_-10_to_-3%;16.91;normal_15-20
MP;2025-11-06;amc;True;long;True;0.824;12.8;2025-11-07;58.6;2025-11-10;61.55;2025-11-14;58.64;-4.73;-4.73;Basic Materials;11.25;14.0;2025-11-07;11;Friday;2025;[10-20B];11-15;12.8;12-15%;1.679;very_high_1.6+;-28.13667159356615;strong_down_<-10%;19.08;normal_15-20
MDB;2025-12-01;amc;True;long;True;0.949;22.23;2025-12-02;401.99;2025-12-03;404.79;2025-12-09;414.06;2.29;2.29;Technology;20.74;36.0;2025-12-02;12;Tuesday;2025;[20-30B];31+;22.23;20-30%;1.605;very_high_1.6+;-8.60152620116632;down_-10_to_-3%;16.59;normal_15-20
